Coin,Sentiment,total_pnl,trades,win_rate
AI,Greed,11.54844,7,0.42857142857142855
AI16Z,Extreme Fear,499.510375,29,0.4482758620689655
AI16Z,Fear,7421.112622,283,0.6607773851590106
AI16Z,Greed,2232.1048849999997,46,0.6956521739130435
AI16Z,Neutral,82.262124,17,0.5882352941176471
AIXBT,Extreme Fear,71.32288,5,0.6
AIXBT,Fear,1943.44861,274,0.5145985401459854
AIXBT,Greed,1305.922214,47,0.7872340425531915
AIXBT,Neutral,9.825941,9,0.5555555555555556
ALGO,Extreme Fear,0.0,1,0.0
ALGO,Greed,-0.2484,2,0.0
ALT,Extreme Greed,2324.66397,110,0.6181818181818182
ALT,Fear,3315.350174,126,0.7142857142857143
ALT,Greed,230.6884,13,0.3076923076923077
ANIME,Fear,21228.411894,654,0.3256880733944954
ANIME,Greed,70.90326,2,0.5
APE,Extreme Fear,0.0,10,0.0
APE,Extreme Greed,2072.62718,45,0.37777777777777777
APE,Fear,905.703575,89,0.2696629213483146
APE,Greed,4808.285568,429,0.31934731934731936
APE,Neutral,1539.9361159999999,45,0.37777777777777777
APT,Extreme Fear,0.0,1,0.0
APT,Fear,674.1,12,0.4166666666666667
APT,Greed,245.44495999999998,40,0.125
AR,Extreme Greed,203.38219999999998,13,0.8461538461538461
ARB,Extreme Fear,0.0,1,0.0
ARB,Extreme Greed,-8.05898,6,0.16666666666666666
ARB,Fear,9149.270049,75,0.2
ARB,Greed,37.255869000000004,18,0.3888888888888889
ARB,Neutral,143.945602,17,0.35294117647058826
ARK,Extreme Greed,0.0,1,0.0
ARK,Fear,57.59879,2,0.5
ARK,Greed,26.13828,4,1.0
ATOM,Extreme Greed,0.0,3,0.0
ATOM,Fear,3.111853,8,0.5
ATOM,Greed,51.238267,62,0.41935483870967744
ATOM,Neutral,33.731024000000005,4,1.0
AVAX,Extreme Fear,0.0,2,0.0
AVAX,Extreme Greed,1.252022,6,0.3333333333333333
AVAX,Fear,35426.350546,58,0.5517241379310345
AVAX,Greed,12136.358247,46,0.43478260869565216
AVAX,Neutral,19.97606,4,0.75
BABY,Fear,98.7298,3,0.6666666666666666
BADGER,Extreme Fear,22.546093,10,0.6
BADGER,Extreme Greed,1297.018477,19,0.7894736842105263
BADGER,Fear,27.457657,66,0.19696969696969696
BADGER,Greed,92.711006,95,0.29473684210526313
BANANA,Extreme Greed,-81.48518800000001,8,0.0
BERA,Fear,84358.293859,670,0.6492537313432836
BIGTIME,Extreme Greed,272.01318000000003,16,0.25
BIGTIME,Greed,1567.72619,29,0.9655172413793104
BIO,Extreme Fear,0.0,2,0.0
BIO,Fear,36.105776,8,0.875
BLAST,Extreme Fear,0.0,1,0.0
BLAST,Extreme Greed,135.989017,4,1.0
BLAST,Fear,316.363549,45,0.3111111111111111
BLAST,Neutral,177.767519,5,0.4
BLUR,Extreme Fear,0.0,1,0.0
BLUR,Extreme Greed,3051.79583,28,0.8928571428571429
BLUR,Fear,159.991096,12,0.5
